dstport,protocol,tag
30726,hopopts,9MK
55305,hopopts,9KY
30732,hopopts,KJR
49185,hopopts,TNH
55329,hopopts,UCH
4139,hopopts,RDP
52,hopopts,LZQ
61503,hopopts,62T
8263,hopopts,6E3
12360,hopopts,8Q7
20553,hopopts,SND
20554,hopopts,2HH
41038,hopopts,S37
63581,hopopts,Y9X
51298,hopopts,D2L
51301,hopopts,OGV
61542,hopopts,884
34925,hopopts,HLO
34932,hopopts,O9B
28788,hopopts,OA7
8311,hopopts,IWM
51321,hopopts,W71
16510,hopopts,L3N
12416,hopopts,ATS
61569,hopopts,0GE
39046,hopopts,LL1
6278,hopopts,346
47239,hopopts,RAK
22664,hopopts,PNK
45204,hopopts,4YB
20630,hopopts,NFW
10392,hopopts,OV8
34973,hopopts,VXG
55456,hopopts,D3L
59561,hopopts,RCZ
8365,hopopts,U2V
26801,hopopts,IGP
59577,hopopts,DZ7
24762,hopopts,1TV
45244,hopopts,Y6L
4292,hopopts,NWI
47302,hopopts,F5I
4296,hopopts,EYA
32973,hopopts,HCL
61648,hopopts,19B
14544,hopopts,7SR
4309,hopopts,R2Z
35060,hopopts,CJI
63733,hopopts,3J5
51453,hopopts,AG7
26880,hopopts,K0P
47362,hopopts,1ZQ
10503,hopopts,FEJ
6409,hopopts,WG2
35086,hopopts,XYX
55567,hopopts,P7W
16656,hopopts,Y5W
12562,hopopts,M57
16659,hopopts,99M
18728,hopopts,8XU
31018,hopopts,MPD
28979,hopopts,HYJ
53559,hopopts,CAT
45369,hopopts,FJI
316,hopopts,E5U
43325,hopopts,DUN
18750,hopopts,G9H
10557,hopopts,XO5
4417,hopopts,K7V
8517,hopopts,QKE
59718,hopopts,4SW
41288,hopopts,CGJ
336,hopopts,PFS
39255,hopopts,2YC
61785,hopopts,B6L
43355,hopopts,06K
53595,hopopts,7VS
55648,hopopts,YM7
12641,hopopts,ISK
14693,hopopts,DMJ
22889,hopopts,M7B
57710,hopopts,O9P
35184,hopopts,ZG2
20852,hopopts,JOG
2425,hopopts,YBL
35195,hopopts,O3H
61837,hopopts,Y66
2450,hopopts,9YO
12691,hopopts,DUX
27026,hopopts,VYM
35226,hopopts,1R7
37277,hopopts,9F4
57764,hopopts,GYT
37285,hopopts,963
6565,hopopts,4TT
16816,hopopts,M8Y
53682,hopopts,5UZ
59828,hopopts,I7X
57789,hopopts,VBK
53702,hopopts,G2P
47570,hopopts,M3Y
6612,hopopts,BUY
45532,hopopts,QPB
477,hopopts,HXJ
33251,hopopts,BMB
53731,hopopts,R2G
49641,hopopts,2ZV
37354,hopopts,DV7
37355,hopopts,6HL
53748,hopopts,SWO
41465,hopopts,K9L
29177,hopopts,566
61947,hopopts,SHQ
63996,hopopts,VID
23054,hopopts,1F1
2579,hopopts,WED
10784,hopopts,AM6
4663,hopopts,5DQ
12860,hopopts,FXP
51776,hopopts,2FT
31296,hopopts,MX2
19012,hopopts,5CA
39515,hopopts,AEM
33379,hopopts,UYI
21093,hopopts,DBZ
8805,hopopts,EZO
618,hopopts,YL7
25199,hopopts,ZAY
10867,hopopts,LEG
33395,hopopts,U6I
45688,hopopts,1KJ
12927,hopopts,5XN
57983,hopopts,643
21122,hopopts,DFQ
646,hopopts,7NL
12936,hopopts,Y1E
6796,hopopts,Z5L
8845,hopopts,BNN
43661,hopopts,O9C
43673,hopopts,E5F
6815,hopopts,UC3
27295,hopopts,DSV
33445,hopopts,0O5
21166,hopopts,511
27311,hopopts,10P
17106,hopopts,F9L
8915,hopopts,I5A
13018,hopopts,B1M
21225,hopopts,KC7
64240,hopopts,TR9
2802,hopopts,Z8G
19193,hopopts,JBD
2813,hopopts,J4J
47869,hopopts,GU2
37636,hopopts,I5I
2855,hopopts,38B
4905,hopopts,OU9
29483,hopopts,9XG
49966,hopopts,HZS
13107,hopopts,7GD
39744,hopopts,217
58191,hopopts,Q90
43872,hopopts,0LD
2920,hopopts,B4P
37737,hopopts,WPF
58231,hopopts,UQZ
23425,hopopts,7GS
29590,hopopts,1UX
2985,hopopts,QQ1
23472,hopopts,40G
62398,hopopts,42K
41919,hopopts,1E6
21442,hopopts,JTA
967,hopopts,BNQ
15308,hopopts,5QK
21471,hopopts,CSG
9200,hopopts,TQ0
62451,hopopts,TTN
9207,hopopts,RWX
23545,hopopts,1QB
15378,hopopts,0H6
52275,hopopts,EXZ
52281,hopopts,0ZU
35913,hopopts,0D1
62546,hopopts,SKI
11347,hopopts,EDP
37978,hopopts,8YV
