Port,Protocol,Count
21166,rsvp,7
59718,eon,6
11347,ipcomp,8
12211,igmp,8
59718,nd,12
4417,none,13
8845,eon,10
32584,gre,13
20311,icmp,15
26422,ipv6,9
316,routing,8
55456,tcp,9
14201,igmp,13
46924,eon,15
18728,ggp,8
37354,ggp,5
45369,icmp,17
56745,gre,8
47302,max,5
37277,sctp,14
20554,ggp,10
43325,sctp,15
2855,ipip,13
37285,gre,10
41465,tcp,10
48950,gre,9
42974,udp,12
32584,pim,8
37355,igmp,10
19587,none,9
53595,pup,8
55138,idp,12
61569,ggp,9
53559,routing,10
54683,max,8
19587,raw,12
18728,max,11
618,routing,12
55132,nd,11
8311,pup,14
5868,gre,13
3689,gre,11
21842,igmp,9
59577,egp,12
35226,ipv6,17
58674,fragment,10
46440,ipcomp,15
51776,sctp,10
57983,sctp,14
43355,max,8
53559,tp,15
10392,ipcomp,6
23545,xtp,8
59577,udp,13
18750,egp,12
3907,nd,11
23663,icmpv6,12
61503,eon,12
21471,hopopts,10
36857,nd,11
8365,tp,8
53748,routing,11
22664,ggp,15
23646,udp,6
46186,icmp,10
42837,eon,12
20630,raw,11
51776,tp,13
336,eon,10
20453,xtp,10
45688,xtp,6
20554,ipv6,11
17106,max,7
55567,ah,14
52381,fragment,9
16304,ggp,5
54588,xtp,14
63996,tp,10
36721,tcp,11
34416,none,9
2985,tp,14
43325,pim,14
36329,icmp,5
2425,dstopts,11
56744,eon,12
47869,xtp,6
646,sctp,5
47302,pim,9
16656,egp,9
7461,icmp,14
55329,pim,8
50462,ah,12
2450,ah,9
1679,dstopts,10
11545,ah,12
59718,rsvp,12
37978,egp,9
16510,ipip,19
6796,pim,10
43355,sctp,17
39515,pim,12
58801,nd,12
38192,ah,15
34932,none,13
46797,egp,10
19012,tp,7
55456,egp,8
57789,ggp,10
29483,egp,17
13981,rsvp,6
32584,fragment,8
37978,hello,12
53748,ipcomp,13
53595,idp,12
20443,eon,14
36736,pup,11
6278,rsvp,14
47362,gre,12
28788,xtp,7
30732,ah,10
62987,none,9
32088,ipv6,9
55456,dstopts,9
34626,sctp,10
60981,tcp,7
24518,tp,6
30726,udp,12
4663,tp,11
7461,tp,13
57764,ipv6,10
52275,hopopts,9
30618,routing,12
23969,tp,12
3317,nd,10
32088,eon,8
54683,rsvp,13
42304,none,8
46924,hello,6
65316,igmp,8
40327,idp,11
47869,ipip,12
63172,none,9
2985,ipip,9
48294,routing,13
47869,igmp,17
37355,ipip,9
49966,hello,10
60847,ipcomp,19
34284,pim,13
18750,nd,9
46797,max,6
14032,pup,12
26211,udp,7
57710,sctp,7
43355,ipv6,10
37277,fragment,9
17106,esp,9
22168,ipip,16
477,sctp,11
13446,pup,9
23923,hopopts,12
35226,nd,10
34416,fragment,12
8845,dstopts,9
33395,ipcomp,4
6124,idp,5
54804,igmp,11
34706,tcp,9
22464,pup,9
16304,routing,9
12691,idp,12
64749,icmp,14
41038,nd,11
10392,sctp,12
30035,ipcomp,8
27311,xtp,15
967,nd,8
23425,pup,4
34284,eon,13
48294,esp,10
63996,pup,5
32088,xtp,10
61947,esp,10
48294,egp,8
22664,nd,6
20852,ipip,9
34284,ipv6,11
6278,fragment,11
55648,esp,12
8915,icmpv6,8
27895,nd,10
40710,nd,10
62546,udp,15
55648,ipcomp,10
22168,icmpv6,10
59561,xtp,9
646,eon,13
44505,ipip,18
39046,eon,7
34284,ggp,13
56745,ipcomp,7
33251,fragment,17
21166,icmp,9
4905,xtp,7
6612,ipcomp,9
50307,ah,12
42393,nd,15
39515,xtp,8
56744,dstopts,10
59828,idp,10
37285,hello,12
26502,icmp,13
16349,hopopts,11
12936,max,6
25199,hello,8
24394,xtp,16
44484,hello,5
30230,dstopts,9
20453,ah,17
34925,icmpv6,10
42310,routing,8
24496,ipip,11
6796,ipip,8
62451,esp,8
12860,max,7
34587,ipip,5
45688,nd,10
20311,ggp,8
27295,esp,13
40327,sctp,9
61542,esp,10
15378,esp,13
61569,none,13
37277,max,15
6057,hopopts,10
20630,none,9
30071,gre,9
55456,icmpv6,9
55132,icmpv6,6
42310,idp,10
57764,gre,15
63733,icmp,13
